법령명한글,공포번호
국립중앙도서관과 그 소속 도서관 이용규칙,00496
국립중앙의료원의 설립 및 운영에 관한 법률,15441
국립중앙의료원의 설립 및 운영에 관한 법률 시행령,29950
국립중앙의료원의 설립 및 운영에 관한 법률 시행규칙,00287
국립학교 설치령,34298
국립학교의 각종 증명 발급 등에 관한 규칙,00301
국립항공박물관법,16490
국립항공박물관법 시행령,30211
국립해사고등학교 설치령,31380
국립해양과학관의 설립 및 운영에 관한 법률,16704
국립해양과학관의 설립 및 운영에 관한 법률 시행령,30689
국립해양박물관 등의 설립 및 운영에 관한 법률,19497
국립해양박물관 등의 설립 및 운영에 관한 법률 시행령,34052
국립해양생물자원관의 설립 및 운영에 관한 법률,14804
국립해양생물자원관의 설립 및 운영에 관한 법률 시행령,28211
국립현대미술관 전시품 관람규칙,00290
국립환경과학원 시험의뢰 규칙,01001
국무조정실과 그 소속기관 직제,34177
국무조정실 소관 비영리법인의 설립 및 감독에 관한 규칙,01772
국무총리비서실 직제,34254
국무회의 규정,33382
국민감사청구ㆍ부패행위신고등처리에관한규칙,00363
국민건강보험법,20324
국민건강보험법 시행령,34497
국민건강보험법 시행규칙,01015
국민건강보험 요양급여의 기준에 관한 규칙,00988
국민건강증진법,20325
국민건강증진법 시행령,33755
국민건강증진법 시행규칙,00980
국민경제자문회의법,11690
국민경제자문회의 운영에 관한 규정,32954
국민과 함께하는 사법발전위원회 규칙,02769
국민권익위원회 소관 비영리법인의 설립 및 감독에 관한 규칙,01187
국민권익위원회와 그 소속기관 직제,34349
국민권익위원회와 그 소속기관 직제 시행규칙,01948
국민기초생활 보장법,19646
국민기초생활 보장법 시행령,33858
국민기초생활 보장법 시행규칙,00927
국민보호와 공공안전을 위한 테러방지법,19580
국민보호와 공공안전을 위한 테러방지법 시행령,32968
국민보호와 공공안전을 위한 테러방지법 시행규칙,01281
국민사법참여위원회 규칙,02405
국민 안전교육 진흥 기본법,16878
국민 안전교육 진흥 기본법 시행령,33886
국민 안전교육 진흥 기본법 시행규칙,00001
국민안전처 소관 비영리법인의 설립 및 감독에 관한 규칙,01165
국민여가활성화기본법,18759
국민여가활성화기본법 시행령,26623
국민여가활성화기본법 시행규칙,00227
국민연금과 직역연금의 연계에 관한 법률,18412
국민연금과 직역연금의 연계에 관한 법률 시행령,32438
국민연금과 직역연금의 연계에 관한 법률 시행규칙,00865
국민연금법,19839
국민연금법 시행령,34163
국민연금법 시행규칙,00993
국민영양관리법,17472
국민영양관리법 시행령,33755
국민영양관리법 시행규칙,00922
국민의 형사재판 참여에 관한 규칙,02949
국민의 형사재판 참여에 관한 법률,14839
국민 제안 규정,33649
국민 제안 규정 시행규칙,00342
국민체육진흥법,19701
국민체육진흥법 시행령,34302
국민체육진흥법 시행규칙,00541
국민통합위원회의 설치 및 운영에 관한 규정,32653
국민투표법,14184
국민투표법 시행령,31380
국민투표법시행규칙,00070
국민 평생 직업능력 개발법,19174
국민 평생 직업능력 개발법 시행령,34472
국민 평생 직업능력 개발법 시행규칙,00416
국방개혁에 관한 법률,19073
국방개혁에 관한 법률 시행령,33568
국방과학기술혁신 촉진법,19948
국방과학기술혁신 촉진법 시행령,34459
국방과학기술혁신 촉진법 시행규칙,01049
국방과학연구소법,20186
국방과학연구소법 시행령,32223
국방ㆍ군사시설 사업에 관한 법률,20073
국방ㆍ군사시설 사업에 관한 법률 시행령,31176
국방ㆍ군사시설 사업에 관한 법률 시행규칙,00891
국방ㆍ군사시설이전 특별회계법,15046
국방대학교 설치법,14609
국방대학교 설치법 시행령,33019
국방대학교 학생 선발 및 수업료 징수에 관한 규칙,00944
국방부 군비통제검증단령,29554
국방부군사편찬연구소령,29047
국방부근무지원단령,34329
국방부 및 그 소속청 소관 비영리법인의 설립 및 감독에 관한 규칙,00853
국방부와 그 소속기관 직제,34332
국방부와 그 소속기관 직제 시행규칙,01142
국방부장관의 소속청장 지휘에 관한 규칙,01123
국방부조사본부령,30384
국방시설본부령,28266
국방전직교육원법,19228
국방전직교육원법 시행령,33921
국방정보본부령,29322
국방정보화 기반조성 및 국방정보자원관리에 관한 법률,18800
국방정보화 기반조성 및 국방정보자원관리에 관한 법률 시행령,25906
국방정보화 기반조성 및 국방정보자원관리에 관한 법률 시행규칙,00873
국방정신전력원령,31200
국방조직 및 정원에 관한 통칙,31124
국방출판지원단령,31909
국방통합데이터센터령,28475
국방혁신위원회의 구성 및 운영에 관한 규정,33075
국새규정,31380
국선변호정책심의위원회의 설치 및 운영에 관한 규칙,02915
국세ㆍ관세ㆍ지방세 체납자에 대한 감치의 재판에 관한 규칙,03051
국세기본법,19926
국세기본법 시행령,34261
국세기본법 시행규칙,01044
국세물납재산취급규칙,00358
국세와 지방세의 조정 등에 관한 법률,12226
국세징수법,19927
국세징수법 시행령,34262
국세징수법 시행규칙,01045
국세청과 그 소속기관 직제,34243
국세청과 그 소속기관 직제 시행규칙,01038
국어기본법,18761
국어기본법 시행령,32207
국어기본법 시행규칙,00312
국외유학에 관한 규정,33313
국외유학에 관한 규정 시행규칙,00156
국유림의 경영 및 관리에 관한 법률,19590
국유림의 경영 및 관리에 관한 법률 시행령,34533
국유림의 경영 및 관리에 관한 법률 시행규칙,00575
국유재산법,18661
국유재산법 시행령,34086
국유재산법 시행규칙,00958
국유재산법 제80조에 따른 청산절차의 특례에 관한 규칙,00093
국유재산에매장된물건의발굴에관한규정,28211
국유재산의 위탁에 관한 규칙,00687
국유재산특례제한법,19588
국유재산특례제한법 시행령,26164
국적법,18978
국적법 시행령,33082
국적법 시행규칙,01076
국정감사 및 조사에 관한 법률,19536
국정기획자문위원회의 설치 및 운영에 관한 규정,28049
국정현안관계장관회의 규정,32890
국정홍보업무운영 규정,34176
국제개발협력기본법,19998
국제개발협력기본법 시행령,31192
국제경기대회 지원법,19592
국제경기대회 지원법 시행령,32399
국제과학기술협력 규정,31297
국제과학비즈니스벨트 조성 및 지원에 관한 특별법,19430
국제과학비즈니스벨트 조성 및 지원에 관한 특별법 시행령,28210
국제금융기구에의 가입조치에 관한 법률,16580
국제금융기구에의 가입조치에 관한 법률 시행령,34523
국제기구 분담금 관리에 관한 법률,17819
국제기구 분담금 관리에 관한 법률 시행령,32288
국제도로 면세통과 증서의 담보하에 행하는 화물의 국제운송에 관한 관세협약 및 1972년 콘테이너에 관한 관세협약의 시행에 관한 규정,31380
국제문화교류 진흥법,18762
국제문화교류 진흥법 시행령,33886
국제문화교류 진흥법 시행규칙,00311
국제민사사법공조규칙,01770
국제민사사법공조법,11690
국제사법,18670
국제상거래에 있어서 외국공무원에 대한 뇌물방지법,18470
국제선박등록법,16279
국제선박등록법 시행령,30341
국제선박등록법 시행규칙,00385
국제수형자이송법,11690
국제연합 평화유지활동 참여에 관한 법률,18594
국제연합 평화유지활동 참여에 관한 법률 시행령,28211
국제우편규정,31380
국제재판부의 설치 및 운영에 관한 규칙,02789
국제조세조정에 관한 법률,19928
국제조세조정에 관한 법률 시행령,34264
국제조세조정에 관한 법률 시행규칙,01048
국제질병퇴치기금법,19996
국제질병퇴치기금법 시행령,27757
국제항공운수권 및 영공통과 이용권 배분 등에 관한 규칙,01340
국제항해선박 등에 대한 해적행위 피해예방에 관한 법률,18427
국제항해선박 등에 대한 해적행위 피해예방에 관한 법률 시행령,32405
국제항해선박 등에 대한 해적행위 피해예방에 관한 법률 시행규칙,00532
국제항해선박 및 항만시설의 보안에 관한 법률,17615
국제항해선박 및 항만시설의 보안에 관한 법률 시행령,32151
국제항해선박 및 항만시설의 보안에 관한 법률 시행규칙,00652
국제협력요원 제도 폐지에 따른 순직 심사 등에 관한 법률,19228
국제협력요원 제도 폐지에 따른 순직 심사 등에 관한 법률 시행령,33382
국제형사사법공조규칙,01166
국제형사사법 공조법,17825
국제형사재판소 관할 범죄의 처벌 등에 관한 법률,10577
국제환규칙,00001
국제회의산업 육성에 관한 법률,19411
국제회의산업 육성에 관한 법률 시행령,33127
국제회의산업 육성에 관한 법률 시행규칙,00409
국채법,19327
국채법 시행령,33701
국채법 시행규칙,01018
국토교통과학기술 육성법,14545
국토교통과학기술 육성법 시행령,33846
국토교통과학기술 육성법 시행규칙,00520
국토교통부 및 그 소속청 소관 비영리법인의 설립 및 감독에 관한 규칙,00001
국토교통부 소관 비상대비에 관한 법률 시행규칙,01180
국토교통부와 그 소속기관 직제,34526
국토교통부와 그 소속기관 직제 시행규칙,01337
국토기본법,19430
국토기본법 시행령,33621
국토안전관리원법,19430
국토안전관리원법 시행령,31211
국토의 계획 및 이용에 관한 법률,19590
국토의 계획 및 이용에 관한 법률 시행령,34531
국토의 계획 및 이용에 관한 법률 시행규칙,01338
국회공무원 직장협의회의 설립ㆍ운영에 관한 규칙,00150
국회공무원 행동강령,00236
국회기록물관리규칙,00164
국회기 및 국회배지 등에 관한 규칙,00187
국회기부심사위원회의 구성 및 운영 등에 관한 규칙,00224
국회도서관법,19537
국회도서관 운영에 관한 규칙,00213
국회도서관 직제,00237
국회미래연구원법,15214
국회방청규칙,00091
국회법,20372
국회사무처법,17337
국회사무처 직제,00240
국회사무총장권한의 위임에 관한 규칙,00150
국회상설소위원회설치등에관한규칙,00104
국회상임위원회 위원 정수에 관한 규칙,00220
국회세종의사당의 설치 및 운영 등에 관한 규칙,00241
국회에서의중계방송등에관한규칙,00232
국회에서의 증언ㆍ감정 등에 관한 법률,15621
국회에서의증인등비용지급에관한규칙,00092
국회예산정책처법,17902
국회예산정책처장추천위원회 및 국회입법조사처장추천위원회 구성 등에 관한 규칙,00145
국회예산정책처 직제,00202
국회의원선거구획정위원회 구성 및 운영 등에 관한 규칙,00162
국회의원선거구획정위원회의 설치 및 운영에 관한 규칙,00568
국회의원수당 등에 관한 규칙,00238
국회의원윤리실천규범,00200
국회의원의 보좌직원과 수당 등에 관한 법률,18719
국회의원청가및결석에관한규칙,00090
국회인사규칙,00237
국회 입법예고에 관한 규칙,00174
국회입법조사처법,17903
국회입법조사처 직제,00225
국회정보공개규칙,00233
국회청원심사규칙,00239
국회행정심판위원회규칙,00228
군 가산복무 지원금 지급 대상자 규정,28423
군 가산복무 지원금 지급 대상자 규정 시행규칙,00948
군검사와 군사법경찰관의 수사준칙에 관한 규정,32519
군검찰단의 조직에 관한 규정,32530
군검찰 및 군사법경찰관리의 개인정보 처리에 관한 규정,32737
군검찰 보존사무규칙,01107
군검찰 사건사무규칙,01087
군검찰사무 운영규정,32737
군검찰 압수물 사무규칙,01108
군 공항 이전 및 지원에 관한 특별법,20073
군 공항 이전 및 지원에 관한 특별법 시행령,34488
군근무성적평정규정,17158
군기령,33334
군단사령부령,29321
군무원의 구분 변경에 따른 전직임용 등에 관한 특례규정,28476
군무원인사법,20187
군무원인사법 시행령,34533
군무원인사법 시행규칙,01130
군무원 특별채용 등에 관한 특례규정,19283
군무회의규칙,00793
군법무관 임용 등에 관한 법률,11165
군법무관임용법시행령,25751
군보건의료에 관한 법률,18802
군보건의료에 관한 법률 시행령,33018
군복 및 군용장구의 단속에 관한 법률,15497
군복 및 군용장구의 단속에 관한 법률 시행령,33920
군복 및 군용장구의 단속에 관한 법률 시행규칙,01133
군복 및 군일용품 지급 규정,27619
군사경찰의 직무수행에 관한 법률,19573
군사경찰의 직무수행에 관한 법률 시행령,31796
군사기밀 보호법,19076
군사기밀 보호법 시행령,32968
군사기지 및 군사시설 보호법,20188
군사기지 및 군사시설 보호법 시행령,34550
군사기지 및 군사시설 보호법 시행규칙,01138
군사법경찰 수사규칙,01120
군사법원법,19839
군사법원 법정 등의 질서유지를 위한 재판에 관한 규칙,03055
군사법원 사무규칙,03058
군사법원서기ㆍ군검찰수사관 및 검찰서기의 전형에 관한 규칙,01106
군사법원의 소송절차에 관한 규칙,03054
군사법원의 조직 및 운영에 관한 규정,32531
군사법원 재판기록 열람ㆍ복사 규칙,03056
군사법원 판결서 등의 열람 및 복사에 관한 규칙,03057
군사정전에 관한 협정 체결 이후 납북피해자의 보상 및 지원에 관한 법률,18082
군사정전에 관한 협정 체결 이후 납북피해자의 보상 및 지원에 관한 법률 시행령,30320
군사학교 각종 증명수수료 규칙,00739
군수용마약류의 취급에 관한 규칙,01068
군수품관리법,17997
군수품관리법 시행령,29950
군수품관리법 시행규칙,01068
군에서의 형의 집행 및 군수용자의 처우에 관한 법률,16927
군에서의 형의 집행 및 군수용자의 처우에 관한 법률 시행령,32737
군에서의 형의 집행 및 군수용자의 처우에 관한 법률 시행규칙,01010
군예식령,30064
군용물 등 범죄에 관한 특별조치법,13719
군용비행장ㆍ군사격장 소음 방지 및 피해 보상에 관한 법률,16582
군용비행장ㆍ군사격장 소음 방지 및 피해 보상에 관한 법률 시행령,33503
군용비행장ㆍ군사격장 소음 방지 및 피해 보상에 관한 법률 시행규칙,01035
군용전기통신법,20073
군용전기통신법시행령,34488
군용항공기 비행안전성 인증에 관한 법률,16353
군용항공기 비행안전성 인증에 관한 법률 시행령,32868
군용항공기 비행안전성 인증에 관한 법률 시행규칙,00999
군용항공기 운용 등에 관한 법률,19573
군용항공기 운용 등에 관한 법률 시행령,27971
군용항공기 운용 등에 관한 법률 시행규칙,01096
군위군의 대구광역시 편입에 따른 법원 관할구역 변경에 관한 규칙,03098
군위탁생규정,32742
군위탁생규정 시행규칙,01052
군인공제회법,16031
군인 급식 규정,24105
군인 등의 특수근무수당에 관한 규칙,01092
군인 명예전역수당 지급 규정,30269
군인 및 군무원의 해외파견근무수당 지급규정,29225
군인보수법,16928
군인복제령,33335
군인복지기금법,16032
군인복지기금법 시행령,30122
군인복지기본법,17999
군인복지기본법 시행령,32040
군인사법,19787
군인사법 시행령,34458
군인사법 시행규칙,01140
군인연금법,19788
군인연금법 시행령,34427
군인연금법 시행규칙,01145
군인유족기장령,20571
군인유족기장령시행세칙,00762
군인의 시간외근무수당 등에 관한 규정,34065
군인의 지위 및 복무에 관한 기본법,19079
군인의 지위 및 복무에 관한 기본법 시행령,34394
군인의 지위 및 복무에 관한 기본법 시행규칙,01018
군인자녀의 교육여건 개선을 위하여 설립하는 고등학교의 학생 모집 등에 관한 특례 규정,26554
군인 재해보상법,19786
군인 재해보상법 시행령,34428
군인 재해보상법 시행규칙,01144
군인 징계령,33809
군인 징계령 시행규칙,01119
군 장려금 지급 규칙,00977
군종장교 등의 선발에 관한 규칙,00907
군 책임운영기관의 지정ㆍ운영에 관한 법률,14420
군 책임운영기관의 지정ㆍ운영에 관한 법률 시행령,32153
군표창규정,33336
군표창규칙,01111
군혈액관리규칙,01010
군형법,18465
군 형사사건기록 열람ㆍ복사의 방법 및 수수료 등에 관한 규칙,01100
궤도운송법,19590
궤도운송법 시행령,33913
궤도운송법 시행규칙,01232
귀국의무면제 통지사무 처리에 관한 규칙,00037
귀농어ㆍ귀촌 활성화 및 지원에 관한 법률,19283
귀농어ㆍ귀촌 활성화 및 지원에 관한 법률 시행령,33751
귀농어ㆍ귀촌 활성화 및 지원에 관한 법률 시행규칙,00391
귀속재산소청심의회규정,31380
귀속재산처리법,19540
귀속재산처리법시행령,28946
귀속재산처리법시행세칙,00579
규제자유특구 및 지역특화발전특구에 관한 규제특례법,19590
규제자유특구 및 지역특화발전특구에 관한 규제특례법 시행령,34488
규제자유특구 및 지역특화발전특구에 관한 규제특례법 시행규칙,00060
극지활동 진흥법,18055
극지활동 진흥법 시행령,32025
극지활동 진흥법 시행규칙,00501
근로감독관규정,22465
근로감독관증 규칙,00158
근로기준법,18176
근로기준법 시행령,32130
근로기준법 시행규칙,00544
근로복지기본법,18926
근로복지기본법 시행령,33776
근로복지기본법 시행규칙,00395
근로자의 날 제정에 관한 법률,13901
근로자참여 및 협력증진에 관한 법률,18927
근로자참여 및 협력증진에 관한 법률 시행령,32983
근로자참여 및 협력증진에 관한 법률 시행규칙,00381
근로자퇴직급여 보장법,18752
근로자퇴직급여 보장법 시행령,34533
근로자퇴직급여 보장법 시행규칙,00359
금강수계관리위원회규정,32251
금강수계 물관리 및 주민지원 등에 관한 법률,19657
금강수계 물관리 및 주민지원 등에 관한 법률 시행령,34220
금강수계 물관리 및 주민지원 등에 관한 법률 시행규칙,01098
금융거래지표의 관리에 관한 법률,16650
금융거래지표의 관리에 관한 법률 시행령,31193
금융복합기업집단의 감독에 관한 법률,17800
금융복합기업집단의 감독에 관한 법률 시행령,32091
금융산업의 구조개선에 관한 법률,17799
금융산업의 구조개선에 관한 법률 시행령,31861
금융소비자 보호에 관한 법률,19532
금융소비자 보호에 관한 법률 시행령,33913
금융실명거래 및 비밀보장에 관한 법률,17799
금융실명거래및비밀보장에관한법률부칙제7조의규정에의한소득세등의계산방법에관한규칙,00673
금융실명거래 및 비밀보장에 관한 법률 시행령,34011
금융실명거래 및 비밀보장에 관한 법률 시행규칙,01406
금융위원회 소관 비영리법인의 설립 및 감독에 관한 규칙,01684
금융위원회와 그 소속기관 직제,33984
금융위원회와 그 소속기관 직제 시행규칙,01955
금융위원회의 설치 등에 관한 법률,19700
금융위원회의 설치 등에 관한 법률 시행령,32544
금융중심지의 조성과 발전에 관한 법률,11069
금융중심지의 조성과 발전에 관한 법률 시행령,34227
금융지주회사법,19700
금융지주회사법 시행령,34449
금융혁신지원 특별법,18117
금융혁신지원 특별법 시행령,33112
금융회사의 지배구조에 관한 법률,19700
금융회사의 지배구조에 관한 법률 시행령,34449
급경사지 재해예방에 관한 법률,19117
급경사지 재해예방에 관한 법률 시행령,31599
급경사지 재해예방에 관한 법률 시행규칙,00274
기간제 및 단시간근로자 보호 등에 관한 법률,18177
기간제 및 단시간근로자 보호 등에 관한 법률 시행령,31611
기간제 및 단시간근로자 보호 등에 관한 법률 시행규칙,00277
기계설비법,17453
기계설비법 시행령,33886
기계설비법 시행규칙,01111
기능성 양잠산업 육성 및 지원에 관한 법률,19109
기능성 양잠산업 육성 및 지원에 관한 법률 시행령,33548
기부금품의 모집 및 사용에 관한 법률,19634
기부금품의 모집 및 사용에 관한 법률 시행령,34037
기상관측표준화법,18904
기상관측표준화법 시행령,34194
기상관측표준화법 시행규칙,01094
기상법,19225
기상법 시행령,34369
기상법 시행규칙,01079
기상산업진흥법,20227
기상산업진흥법 시행령,34194
기상산업진흥법 시행규칙,01095
기상청과 그 소속기관 직제,34248
기상청과 그 소속기관 직제 시행규칙,01096
기술대학설립ㆍ운영규정,33725
기술대학설립ㆍ운영규정시행규칙,00001
기술보증기금법,19014
기술보증기금법 시행령,33432
기술보증기금법 시행규칙,00045
기술사법,18425
기술사법 시행령,33886
기술사법 시행규칙,00086
기술심리관규칙,02646
기술의 이전 및 사업화 촉진에 관한 법률,18469
기술의 이전 및 사업화 촉진에 관한 법률 시행령,34468
기술의 이전 및 사업화 촉진에 관한 법률 시행규칙,00448
기업구조조정 촉진법,19852
기업구조조정 촉진법 시행령,34122
기업구조조정투자회사법,17799
기업구조조정투자회사법 시행령,33474
기업도시개발 특별법,19767
기업도시개발 특별법 시행령,34444
기업도시개발 특별법 시행규칙,01099
기업활동 규제완화에 관한 특별조치법,19163
기업활동 규제완화에 관한 특별조치법 시행령,33584
기업활동 규제완화에 관한 특별조치법 시행규칙,00235
기업 활력 제고를 위한 특별법,19288
기업 활력 제고를 위한 특별법 시행령,34314
기초연구진흥 및 기술개발지원에 관한 법률,18797
기초연구진흥 및 기술개발지원에 관한 법률 시행령,32868
기초연구진흥 및 기술개발지원에 관한 법률 시행규칙,00098
기초연금법,18213
기초연금법 시행령,34258
기초연금법 시행규칙,00976
기초학력 보장법,18458
기초학력 보장법 시행령,32554
기획재정부 및 그 소속청 소관 비영리법인의 설립 및 감독에 관한 규칙,00478
기획재정부 소관 비상대비에 관한 법률 시행규칙,00957
기획재정부와 그 소속기관 직제,34330
기획재정부와 그 소속기관 직제 시행규칙,01059
기획재정부장관의 소속청장에 대한 지휘에 관한 규칙,00056
기후변화대응 기술개발 촉진법,18865
기후변화대응 기술개발 촉진법 시행령,33886
기후변화대응 기술개발 촉진법 시행규칙,00080
기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,19208
기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법 시행령,34194
긴급구조대응활동 및 현장지휘에 관한 규칙,00458
긴급복지지원법,19448
긴급복지지원법 시행령,32620
긴급복지지원법 시행규칙,00841
김산업의 육성 및 지원에 관한 법률,17747
김산업의 육성 및 지원에 관한 법률 시행령,33004
김산업의 육성 및 지원에 관한 법률 시행규칙,00518
김치산업 진흥법,19110
김치산업 진흥법 시행령,32447
김치산업 진흥법 시행규칙,00391
나노기술개발 촉진법,15344
나노기술개발촉진법시행령,28799
나라문장 규정,23399
낙농진흥법,17007
낙농진흥법시행령,26108
낙농진흥법 시행규칙,00237
낙동강수계관리위원회규정,34550
낙동강수계 물관리 및 주민지원 등에 관한 법률,19658
낙동강수계 물관리 및 주민지원 등에 관한 법률 시행령,34219
낙동강수계 물관리 및 주민지원 등에 관한 법률 시행규칙,01098
낚시 관리 및 육성법,19573
낚시 관리 및 육성법 시행령,34194
낚시 관리 및 육성법 시행규칙,00618
난민법,14408
난민법 시행령,32790
난민법 시행규칙,01068
남극활동 및 환경보호에 관한 법률,17159
남극활동 및 환경보호에 관한 법률 시행령,29685
남극활동 및 환경보호에 관한 법률 시행규칙,00001
남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률,18178
남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행령,33912
남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률 시행규칙,00413
남북관계 발전에 관한 법률,18484
남북관계 발전에 관한 법률 시행령,32579
남북관계 발전에 관한 법률 시행규칙,00040
남북교류협력에 관한 법률,20000
남북교류협력에 관한 법률 시행령,34550
남북교류협력에 관한 법률 시행규칙,00106
남북 이산가족 생사확인 및 교류 촉진에 관한 법률,19277
남북 이산가족 생사확인 및 교류 촉진에 관한 법률 시행령,33475
남북 주민 사이의 가족관계와 상속 등에 관한 특례법,13763
남북 주민 사이의 가족관계와 상속 등에 관한 특례법 시행령,23777
남북 주민 사이의 가족관계와 상속 등에 관한 특례법 시행규칙,01014
남북협력기금법,20001
남북협력기금법 시행령,28946
남북협력기금법 시행규칙,00059
내수면 가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법,19905
내수면 가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법 시행령,34389
내수면 가두리양식어업 면허기간 연장불허에 따른 손실보상에 관한 특별법 시행규칙,00660
내수면어업법,18755
내수면어업법 시행령,34550
내수면어업법 시행규칙,00581
노근리사건 희생자심사 및 명예회복에 관한 특별법,18486
노근리사건 희생자심사 및 명예회복에 관한 특별법 시행령,32580
노근리사건 희생자심사 및 명예회복에 관한 특별법에 의한 가족관계등록사무처리규칙,03049
노동위원회법,18179
노동위원회법 시행령,34550
노동위원회법 시행규칙,00135
노동조합 및 노동관계조정법,17864
노동조합 및 노동관계조정법 시행령,33758
노동조합 및 노동관계조정법 시행규칙,00405
노면전차 건설 및 운전 등에 관한 규칙,01201
노사관계 발전 지원에 관한 법률,13905
노사관계 발전 지원에 관한 법률 시행령,29950
노숙인 등의 복지 및 자립지원에 관한 법률,17775
노숙인 등의 복지 및 자립지원에 관한 법률 시행령,31269
노숙인 등의 복지 및 자립지원에 관한 법률 시행규칙,01002
노인복지법,19409
노인복지법 시행령,33901
노인복지법 시행규칙,01006
노인장기요양보험법,18610
노인장기요양보험법 시행령,34001
노인장기요양보험법 시행규칙,00967
노인ㆍ장애인 등 사회복지시설의 급식안전 지원에 관한 법률,19622
노인ㆍ장애인 등 사회복지시설의 급식안전 지원에 관한 법률 시행령,34260
노인ㆍ장애인 등 사회복지시설의 급식안전 지원에 관한 법률 시행규칙,01821
노후거점산업단지의 활력증진 및 경쟁력강화를 위한 특별법,19430
노후거점산업단지의 활력증진 및 경쟁력강화를 위한 특별법 시행령,32352
노후계획도시 정비 및 지원에 관한 특별법,19847
노후계획도시 정비 및 지원에 관한 특별법 시행령,34443
노후계획도시 정비 및 지원에 관한 특별법 시행규칙,01334
노후준비 지원법,18611
노후준비 지원법 시행령,32713
노후준비 지원법 시행규칙,00894
녹색건축물 조성 지원법,18469
녹색건축물 조성 지원법 시행령,34006
녹색건축물 조성 지원법 시행규칙,01174
녹색건축 인증에 관한 규칙,00831
녹색기후기금의 운영지원에 관한 법률,11947
녹색융합클러스터의 조성 및 육성에 관한 법률,18469
녹색융합클러스터의 조성 및 육성에 관한 법률 시행령,32230
녹색융합클러스터의 조성 및 육성에 관한 법률 시행규칙,00957
녹색제품 구매촉진에 관한 법률,18469
녹색제품 구매촉진에 관한 법률 시행령,34232
녹색제품 구매촉진에 관한 법률 시행규칙,00490
농림수산식품투자조합 결성 및 운용에 관한 법률,19504
농림수산식품투자조합 결성 및 운용에 관한 법률 시행령,34493
농림수산식품투자조합 결성 및 운용에 관한 법률 시행규칙,00237
농림수산업자 신용보증법,18712
농림수산업자 신용보증법 시행령,33495
농림수산업자 신용보증법 시행규칙,01961
농림식품과학기술 육성법,18075
농림식품과학기술 육성법 시행령,33886
농림식품과학기술 육성법 시행규칙,00495
농림어업총조사 규칙,01036
농림축산식품부 소관 비상대비에 관한 법률 시행규칙,00609
농림축산식품부 소관 식품산업진흥법 시행규칙,00643
농림축산식품부 소관 친환경농어업 육성 및 유기식품 등의 관리ㆍ지원에 관한 법률 시행규칙,00616
농림축산식품부와 그 소속기관 직제,34462
농림축산식품부와 그 소속기관 직제 시행규칙,00651
농림축산식품부장관 및 그 소속 청장 소관 비영리법인의 설립 및 감독에 관한 규칙,00001
농림축산식품부장관의 소속 청장에 대한 지휘에 관한 규칙,00001
농산물의 생산자를 위한 직접지불제도 시행규정,34356
농산물의 생산자를 위한 직접지불제도 시행규칙,00645
농산장려보조금교부규칙,31380
농수산물 유통 및 가격안정에 관한 법률,18525
농수산물 유통 및 가격안정에 관한 법률 시행령,31380
농수산물 유통 및 가격안정에 관한 법률 시행규칙,00511
농수산물의 원산지 표시 등에 관한 법률,18525
농수산물의 원산지 표시 등에 관한 법률 시행령,33946
농수산물의 원산지 표시 등에 관한 법률 시행규칙,00618
농수산물 품질관리법,19637
농수산물 품질관리법 시행령,33260
농수산물 품질관리법 시행규칙,00631
농수산자조금의 조성 및 운용에 관한 법률,17618
농수산자조금의 조성 및 운용에 관한 법률 시행령,32146
농수산자조금의 조성 및 운용에 관한 법률 시행규칙,00316
농약관리법,19746
농약관리법 시행령,34410
농약관리법 시행규칙,00654
농어가목돈마련저축에 관한 법률,19258
농어가목돈마련저축에 관한 법률 시행령,33731
농어업경영체 육성 및 지원에 관한 법률,19638
농어업경영체 육성 및 지원에 관한 법률 시행령,34186
농어업경영체 육성 및 지원에 관한 법률 시행규칙,00640
농어업고용인력 지원 특별법,19224
농어업고용인력 지원 특별법 시행령,34184
농어업ㆍ농어촌특별위원회 설치 및 운영에 관한 법률,19747
농어업ㆍ농어촌특별위원회 설치 및 운영에 관한 법률 시행령,33453
농어업인 부채경감에 관한 특별조치법,17594
농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법,19875
농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 시행령,34356
농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법 시행규칙,00582
농어업인의 안전보험 및 안전재해예방에 관한 법률,19807
농어업인의 안전보험 및 안전재해예방에 관한 법률 시행령,33041
농어업인의 안전보험 및 안전재해예방에 관한 법률 시행규칙,00649
농어업재해대책법,20275
농어업재해대책법 시행령,30977
농어업재해대책법 시행규칙,00496
농어업재해보험법,20275
농어업재해보험법 시행령,34474
농어촌구조개선 특별회계법,19430
농어촌도로의 구조ㆍ시설기준에 관한 규칙,00274
농어촌도로 정비법,19117
농어촌도로 정비법 시행령,34533
농어촌도로 정비법 시행규칙,00274
농어촌 등 보건의료를 위한 특별조치법,18413
